PARK SLOPE,1254377.4254807692
BLOOMFIELD,14300000
KINGSBRIDGE/JEROME PARK,443930.9212121212
GLENDALE,560636.9124087591
BAYCHESTER,324152.85236220475
WHITESTONE,560885.9166666666
ROSSVILLE,390121.4479638009
LITTLE NECK,493133.45147679327
BEDFORD STUYVESANT,879816.3304659498
SHORE ACRES,371414.375
GRANT CITY,343095.0724637681
CARROLL GARDENS,1542367.1227272728
WILLIAMSBURG,1201279.2232223223
CROTONA PARK,752515.35
KIPS BAY,903816.731707317
DOWNTOWN-FULTON MALL,1027524.3851351351
MIDTOWN WEST,3997646.980273141
HUNTS POINT,529409.06
PELHAM GARDENS,314149.8714285714
UNIONPORT,841525.2906976744
WOODSIDE,666446.684057971
ASTORIA,684154.659574468
QUEENS VILLAGE,338857.7799442897
EAST ELMHURST,500951.54337899544
MARINERS HARBOR,293870.52091254754
CO-OP CITY,0
BOERUM HILL,1217100.5986842106
SILVER LAKE,419882.8169014084
REGO PARK,841124.5638126009
UPPER WEST SIDE,1690384.4176045016
BRIGHTON BEACH,351670.91202346043
STAPLETON,348336.268115942
FLATBUSH-EAST,349357.5242390079
WASHINGTON HEIGHTS,979295.8227272728
MILL BASIN,437243.2570621469
CROWN HEIGHTS,771267.7917847026
ROSEBANK,324948
CASTLE HILL,841525.2906976744
DONGAN HILLS,468853.6277777778
ARROCHAR,400151.9830508475
PROSPECT HEIGHTS,1036625.2307692308
TOMPKINSVILLE,325765.95081967214
MORRIS HEIGHTS,327686.58108108107
PORT MORRIS,1218161.6442307692
MORRISANIA,872551.244047619
DYKER HEIGHTS,648997.180887372
BELMONT,1121792.2705882352
FIELDSTON,778216.7021276596
GREENPOINT,1324327.8172268907
WAKEFIELD,563273.1477272727
PORT RICHMOND,325704.1193415638
NAVY YARD,3738982.476190476
HOLLISWOOD,492725.0808080808
WINDSOR TERRACE,903742.6623376623
BENSONHURST,597938.5886792453
BERGEN BEACH,473501.3256880734
RICHMONDTOWN-LIGHTHS HILL,822705.6666666666
DOWNTOWN-FULTON FERRY,1546797.2
ST. ALBANS,351226.06482758623
BREEZY POINT,418120.70707070705
MOUNT HOPE,2480244.0149253733
PARKCHESTER,210515.19285714286
BELLE HARBOR,556769.8674698796
MORRIS PARK,382767.37295081967
HOLLIS,418604.4890510949
FINANCIAL,1043948.3090909091
FORT GREENE,1064012.009090909
KEW GARDENS,408240.768707483
THROGS NECK,352187.8862559242
NEW DORP-BEACH,350515.9756097561
KINGSBRIDGE,512754.3333333333
CIVIC CENTER,2965330.7148288973
RICHMONDTOWN,519725.5294117647
FRESH MEADOWS,482300.5961538461
RIVERDALE,431650.97089041094
SCHUYLERVILLE,402898.3732394366
DOUGLASTON,486626.3388429752
TREMONT,1050176.865079365
SOHO,3354995.8855421687
PARK SLOPE SOUTH,932347.570652174
SPRINGFIELD GARDENS,360718.81720430107
MIDLAND BEACH,393842.1807228916
MOTT HAVEN,1218161.6442307692
COBBLE HILL,1657599.3138075315
OZONE PARK,371381.2635193133
SUNSET PARK,646722.7408163266
MANHATTAN BEACH,601996.8260869565
FLATBUSH,537248.958863859
RED HOOK,1098888.357142857
BUSHWICK,695787.428115016
CHINATOWN,1849008.3440860214
LONG ISLAND CITY,1637032.4737793852
HIGHBRIDGE,327686.58108108107
BROOKLYN HEIGHTS,1517078.784848485
UPPER EAST SIDE,2229023.6441441444
WILLIAMSBRIDGE,347703.611328125
CYPRESS HILLS,372928.0338028169
ROOSEVELT ISLAND,768912.4318181818
GREAT KILLS,370944.1941031941
ST. GEORGE,441330.4347826087
FLATIRON,3008132.1118644066
NEW SPRINGVILLE,344369.90249433107
MURRAY HILL,1153138.0557432433
TOTTENVILLE,473662.175
EMERSON HILL,494190.0416666667
EAST NEW YORK,370217.709486166
ARDEN HEIGHTS,371945.98679867986
TODT HILL,814196.5454545454
WOODLAWN,303719.2125
ARVERNE,367151
BELLEROSE,360132.38942307694
SUNNYSIDE,527068.5728813559
FORDHAM,798635.9189189189
TRIBECA,4306661.624733475
PELHAM BAY,402898.3732394366
WOODHAVEN,433862.95454545453
BRIARWOOD,283051.62841530057
CHELSEA,1690178.07788162
CONCORD,347292.26086956525
LAURELTON,325716.12264150946
JAMAICA,384153.9387643521
JACKSON HEIGHTS,415346.4362745098
MOUNT EDEN,2480244.0149253733
BRONXDALE,376121.62058823527
RICHMOND HILL,354993.61041902605
FAR ROCKAWAY,2706875.1391509436
EAST VILLAGE,2600087.5956284152
HARLEM-EAST,5357883.982142857
CONEY ISLAND,300912.60869565216
GOWANUS,1350747.0957446808
CONCOURSE,791270.541062802
SOUTH BEACH,432396.02074688795
CANARSIE,534281.8893805309
COLLEGE POINT,485230.34844192636
CITY ISLAND,440001.203539823
HOWARD BEACH,322071.5709156194
FOREST HILLS,479507.01901140687
HUGUENOT,486048.83950617287
VAN NEST,382767.37295081967
GRAMERCY,1564362.8086206897
SOUTHBRIDGE,1297275.436893204
MASPETH,433663.8126721763
INWOOD,620425.8679245283
KINGSBRIDGE HTS/UNIV HTS,598783.5984848485
GRAVESEND,494757.94793261867
GREENWICH VILLAGE,2403312.017964072
PRINCES BAY,542885.5725806452
NEW BRIGHTON,349319.7662082515
JAMAICA HILLS,419887.30693069304
PELHAM PARKWAY NORTH,372091.93023255817
WESTCHESTER,510041.75
ROCKAWAY PARK,605114.0280373832
BATH BEACH,583835.641509434
GRYMES HILL,355630.36842105264
MELROSE,791270.541062802
FLATLANDS,285282.0987654321
LITTLE ITALY,3564218.403846154
BAYSIDE,474715.95851721097
BOROUGH PARK,549136.7177798683
MORNINGSIDE HEIGHTS,1185329.1219512196
LONGWOOD,872551.244047619
WEST NEW BRIGHTON,335370.21885521885
CAMBRIA HEIGHTS,298376.28755364806
BULLS HEAD,325717.47175141243
WILLOWBROOK,321046.59433962265
SOUNDVIEW,439591.6479400749
SHEEPSHEAD BAY,399760.8212435233
BAY TERRACE,299388.14492753625
LOWER EAST SIDE,1664616.6235489221
SOUTH OZONE PARK,349743.15873015876
NEPONSIT,773048.7878787878
HARLEM,2980258.656703672
CASTLETON CORNERS,401304.23899371066
MIDTOWN,2327105.796377607
KENSINGTON,558964.5886524823
CLINTON HILL,933479.3714285714
RIDGEWOOD,581179.3854748603
BROWNSVILLE,1324874.5652173914
JAMAICA ESTATES,600287.1296296297
OAKWOOD,402775.5407407407
ROSEDALE,403812.42147117294
NORWOOD,718893.4252336449
BAY RIDGE,565126.6738035264
FLUSHING,656017.5707777416
CLIFTON,362573.32
ELTINGVILLE,363807.697740113
ELMHURST,444952.98799126636
CORONA,494429.62335526315
MIDDLE VILLAGE,472803.24435318273
MIDWOOD,561763.674672489
